old_plan_id_x100,plan_designation_name,plan,plan_label,plan_designation,plan_designation_code
,MP LC -- Forest Land -- F,MP LC,Metro Plan (Lane County),Forest Land,F
,MP LC -- Government -- X,MP LC,Metro Plan (Lane County),Government,X
,MP LC -- Natural Resource -- N,MP LC,Metro Plan (Lane County),Natural Resource,N
,MP LC -- Parks and Open Space -- P,MP LC,Metro Plan (Lane County),Parks and Open Space,P
,MP LC -- Rural Residential -- R,MP LC,Metro Plan (Lane County),Rural Residential,R
,MP LC -- Sand and Gravel -- G,MP LC,Metro Plan (Lane County),Sand and Gravel,G
,MP LC -- Rural Commercial -- Q,MP LC,Metro Plan (Lane County),Rural Commercial,Q
,MP LC -- Rural Industrial -- J,MP LC,Metro Plan (Lane County),Rural Industrial,J
1100.0,,,,,
1200.0,,,,,
1300.0,,,,,
1400.0,,,,,
1500.0,,,,,
1600.0,,,,,
1700.0,,,,,
1800.0,,,,,
1900.0,,,,,
2000.0,,,,,
2100.0,,,,,
2200.0,,,,,
2300.0,,,,,
2400.0,,,,,
2500.0,,,,,
2600.0,,,,,
2700.0,,,,,
2800.0,,,,,
2900.0,,,,,
3000.0,,,,,
3100.0,,,,,
100.0,,,,,
700.0,,,,,
6800.0,,,,,
6700.0,,,,,
6900.0,,,,,
