plan_zone_id,plan_id,plan_designation_name,zoning_id,zoning_name,cost_in_city,cost_in_ugb,cost_outside_ugb,probability,cost_notes
50,32.0,LC -- NATURAL RESOURCE : WILDLIFE -- NR:W,54.0,LC -- NATURAL RESOURCE -- NR,-99999.99,-99999.99,5200.0,1.0,zone change
51,33.0,LC -- NATURAL RESOURCE CONSERVATION AREA -- NR:CA,54.0,LC -- NATURAL RESOURCE -- NR,-99999.99,-99999.99,5200.0,1.0,zone change
52,34.0,LC -- NON RESOURCE -- NRES,0.0,(current zone only),-99999.99,-99999.99,5200.0,1.0,zone change
53,35.0,LC -- PARKS -- P,56.0,LC -- PARK AND RECREATION -- PR,-99999.99,-99999.99,5200.0,1.0,zone change
54,36.0,LC -- PUBLIC FACILITY -- PF,60.0,LC -- RURAL PUBLIC FACILITY -- RPF,-99999.99,-99999.99,5200.0,1.0,zone change
55,37.0,LC -- RESIDENTIAL -- R,0.0,(current zone only),-99999.99,-99999.99,5200.0,1.0,zone change
56,38.0,MP SPR -- Agriculture -- A,0.0,(current zone only),6880.4,13063.85,-99999.99,1.0,zone change
57,39.0,MP SPR -- Campus Industrial -- O,71.0,SPR -- CAMPUS INDUSTRIAL -- CI,6880.4,13063.85,-99999.99,1.0,zone change
58,40.0,MP SPR -- Commercial -- C,70.0,SPR -- COMMUNITY COMMERCIAL -- CC,6880.4,13063.85,-99999.99,1.0,zone change
59,40.0,MP SPR -- Commercial -- C,80.0,SPR -- MEDICAL SERVICES -- MS,6880.4,13063.85,-99999.99,1.0,zone change
60,40.0,MP SPR -- Commercial -- C,83.0,SPR -- NEIGHBORHOOD COMMERCIAL -- NC,6880.4,13063.85,-99999.99,1.0,zone change
61,41.0,MP SPR -- Commercial Mixed Use -- D,81.0,SPR -- MIXED USE COMMERCIAL -- MUC,6880.4,13063.85,-99999.99,1.0,zone change
62,42.0,MP SPR -- Forest Land -- F,0.0,(current zone only),6880.4,13063.85,-99999.99,1.0,zone change
63,43.0,MP SPR -- Education -- E,84.0,SPR -- PUBLIC LAND & OPEN SPACE -- PL,6880.4,13063.85,-99999.99,1.0,zone change
64,44.0,MP SPR -- Government -- X,84.0,SPR -- PUBLIC LAND & OPEN SPACE -- PL,6880.4,13063.85,-99999.99,1.0,zone change
65,45.0,MP SPR -- Heavy Industrial -- Z,74.0,SPR -- HEAVY INDUSTRIAL -- HI,6880.4,13063.85,-99999.99,1.0,zone change
66,46.0,MP SPR -- High Density Residential -- H,73.0,SPR -- HIGH DENSITY RESIDENTIAL -- HD,6880.4,13063.85,-99999.99,1.0,zone change
67,47.0,MP SPR -- Light Med Ind Mixed Use -- W,69.0,SPR -- BOOTH KELLY MIXED USE -- BK,6880.4,13063.85,-99999.99,1.0,zone change
68,48.0,MP SPR -- Light Medium Industrial -- I,77.0,SPR -- LIGHT MEDIUM INDUSTRIAL -- LMI,6880.4,13063.85,-99999.99,1.0,zone change
69,49.0,MP SPR -- Low Density Residential -- L,75.0,SPR -- LOW DENSITY RESIDENTIAL -- LD,6880.4,13063.85,-99999.99,1.0,zone change
70,50.0,MP SPR -- Major Retail Center -- K,79.0,SPR -- MAJOR RETAIL COMMERCIAL -- MR,6880.4,13063.85,-99999.99,1.0,zone change
71,51.0,MP SPR -- Medium Density Res Mixed Use -- U,82.0,SPR -- MIXED USE RESIDENTIAL -- MUR,6880.4,13063.85,-99999.99,1.0,zone change
72,52.0,MP SPR -- Medium Density Residential -- M,78.0,SPR -- MEDIUM DENSITY RESIDENTIAL -- MD,6880.4,13063.85,-99999.99,1.0,zone change
73,53.0,MP SPR -- Mixed Use -- MU,81.0,SPR -- MIXED USE COMMERCIAL -- MUC,6880.4,13063.85,-99999.99,1.0,zone change
74,54.0,MP SPR -- Nodal Development -- ND,81.0,SPR -- MIXED USE COMMERCIAL -- MUC,6880.4,13063.85,-99999.99,1.0,zone change
75,55.0,MP SPR -- Nodal Development/Mixed Use -- ND,81.0,SPR -- MIXED USE COMMERCIAL -- MUC,6880.4,13063.85,-99999.99,1.0,zone change
76,56.0,MP SPR -- Parks and Open Space -- P,84.0,SPR -- PUBLIC LAND & OPEN SPACE -- PL,6880.4,13063.85,-99999.99,1.0,zone change
77,57.0,MP SPR -- Rural Residential -- R,0.0,(current zone only),6880.4,13063.85,-99999.99,1.0,zone change
78,58.0,MP SPR -- Sand and Gravel -- G,85.0,SPR -- QUARRY & MINE OPERATIONS -- QM,6880.4,13063.85,-99999.99,1.0,zone change
79,59.0,MP SPR -- Special Heavy Industrial -- Y,86.0,SPR -- SPECIAL HEAVY INDUSTRIAL -- SH,6880.4,13063.85,-99999.99,1.0,zone change
80,60.0,MP LC -- Agriculture -- A,0.0,(current zone only),-99999.99,-99999.99,5200.0,1.0,zone change
81,61.0,MP LC -- Airport Reserve -- T,43.0,LC -- AIRPORT OPERATIONS -- AO,-99999.99,-99999.99,5200.0,1.0,zone change
82,62.0,MP LC -- Forest Land -- F,0.0,(current zone only),-99999.99,-99999.99,5200.0,1.0,zone change
83,63.0,MP LC -- Government -- X,43.0,LC -- AIRPORT OPERATIONS -- AO,-99999.99,-99999.99,5200.0,1.0,zone change
84,64.0,MP LC -- Natural Resource -- N,54.0,LC -- NATURAL RESOURCE -- NR,-99999.99,-99999.99,5200.0,1.0,zone change
85,65.0,MP LC -- Parks and Open Space -- P,56.0,LC -- PARK AND RECREATION -- PR,-99999.99,-99999.99,5200.0,1.0,zone change
86,66.0,MP LC -- Rural Residential -- R,0.0,(current zone only),-99999.99,-99999.99,5200.0,1.0,zone change
87,67.0,MP LC -- Sand and Gravel -- G,67.0,"LC -- SAND, GRAVEL AND ROCK PRODUCTS -- SG",-99999.99,-99999.99,5200.0,1.0,zone change
88,68.0,MP LC -- Rural Commercial -- Q,46.0,LC -- RURAL COMMERCIAL -- CR,-99999.99,-99999.99,5200.0,1.0,zone change
89,69.0,MP LC -- Rural Industrial -- J,59.0,LC -- RURAL INDUSTRIAL -- RI,-99999.99,-99999.99,5200.0,1.0,zone change
90,,,,,,,,,
91,,"<class 'list'>: [42.0, 34.0, 70.0, 71.0, 0.0, 72.0, 25.0, 37.0, 38.0, 66.0]",,,,,,,
